Name,Density (g/cm3),Thermal Conductivity (W/cm-K),Specific Heat (J/g-K),Linear Expansion (um/cm/C)
Ag,1.05E+01,4.29E+00,2.35E-01,1.80E-01
Air,1.20E-03,2.60E-04,1.00E+00,
Al,2.71E+00,2.04E+00,9.00E-01,2.25E-01
Alumel,8.60E+00,2.94E-01,5.44E-01,1.21E-01
Alumina Ceramic - 96%,3.57E+00,3.53E-01,8.37E-01,6.50E-02
Ar,1.66E-03,1.60E-04,5.18E-01,
Au,1.93E+01,3.10E+00,1.26E-01,1.42E-01
AuSn-80/20,1.45E+01,5.70E-01,1.49E-01,1.60E-01
Bakelite,1.28E+00,2.30E-03,1.59E+00,2.20E-01
BeO,2.90E+00,2.50E+00,9.60E-01,
Beryllia Ceramic - 99%,2.88E+00,2.30E+00,1.09E+00,5.90E-02
Bismuth Telluride,7.53E+00,1.50E-02,5.44E-01,1.30E-01
Brass,8.49E+00,1.11E+00,3.43E-01,1.80E-01
Bronze,8.15E+00,6.40E-01,4.35E-01,1.80E-01
Chromel,8.41E+00,1.35E-01,4.60E-01,1.31E-01
Concrete,2.88E+00,1.09E-02,6.53E-01,1.44E-01
Constantan,8.39E+00,2.25E-01,4.10E-01,1.69E-01
Cu,8.96E+00,3.86E+00,3.85E-01,1.67E-01
CuAg-90/10,9.11E+00,3.90E+00,3.70E-01,
CuW-10/90,1.70E+01,1.80E+00,1.60E-01,
Earth,2.05E+00,5.20E-03,1.84E+00,
Ethylene Glycol,1.12E+00,2.42E-03,2.39E+00,
Fe,7.21E+00,8.30E-01,4.60E-01,1.04E-01
GaAs,5.32E+00,4.60E-01,3.50E-01,6.86E-02
Ge,5.33E+00,6.00E-01,3.10E-01,5.80E-02
Glass,2.58E+00,8.00E-03,7.95E-01,7.00E-02
Glass Wool,2.00E-01,4.00E-04,6.70E-01,
Graphite,2.56E+00,5.70E-02,8.37E-01,3.60E-02
In,7.31E+00,8.60E-01,1.30E-01,2.90E-01
Kovar,8.36E+00,1.66E-01,4.60E-01,5.00E-02
Ni,8.91E+00,9.00E-01,4.48E-01,1.19E-01
Nitrogen,1.14E-03,2.60E-04,1.05E+00,
Oil (Light),9.10E-01,1.30E-03,1.80E+00,
Pb,1.12E+01,3.50E-01,1.30E-01,2.93E-01
PbSn-37/63,8.40E+00,5.00E-01,1.91E-01,2.50E-01
Plexiglass,1.41E+00,2.60E-03,1.45E+00,7.40E-01
Polyurethane,2.90E-02,3.50E-04,1.13E+00,
Rubber,9.60E-01,1.60E-03,2.01E+00,7.20E-01
Sapphire,3.97E+00,4.60E-01,7.65E-01,
Saw Dust,1.90E-01,5.90E-04,,
Si,2.33E+00,1.50E+00,7.00E-01,2.60E-02
Skin,1.00E+00,3.70E-03,4.19E+00,
Sn,7.31E+00,6.40E-01,2.26E-01,2.34E-01
Solder (Pb/Sn),9.29E+00,4.80E-01,1.67E-01,2.41E-01
Stainless Steel,8.01E+00,1.38E-01,4.60E-01,1.71E-01
Steel (Low Carbon),7.85E+00,4.80E-01,4.60E-01,1.15E-01
Thermal Grease,2.40E+00,8.70E-03,2.09E+00,
Ti,4.37E+00,2.07E-01,4.60E-01,8.20E-02
Vermiculite (Loose),1.30E-01,6.60E-04,,
Water,1.00E+00,6.10E-03,4.19E+00,
Wood (Oak),6.10E-01,1.50E-03,2.39E+00,4.90E-02
Wood (Pine),5.10E-01,1.10E-03,2.81E+00,5.40E-02
Zn,7.15E+00,1.12E+00,3.81E-01,3.24E-01
